V	1002	ATI Technologies Inc
X	124E1043	AMD Radeon(TM) R6 M435DX
X	13D01043	AMD Radeon (TM) R5 M430
X	1C401043	AMD Radeon (TM) R8 M350DX
X	1C501043	AMD Radeon (TM) R6 M340DX
X	1C601043	AMD Radeon (TM) R6 M335DX
X	225D1043	AMD Radeon R5 M330
X	380817AA	AMD Radeon (TM) R5 M430
X	380A17AA	AMD Radeon(TM) R5 M430
X	380B17AA	AMD Radeon(TM) R5 M430
X	380E17AA	AMD Radeon(TM) R5 M430
X	380F17AA	AMD Radeon (TM) R5 M430
X	381017AA	AMD Radeon(TM) R5 430M
X	381617AA	AMD Radeon (TM) R5 M430
X	381717AA	AMD Radeon(TM) R5 M430
X	381A17AA	AMD Radeon (TM) R5 M430
X	381C17AA	AMD Radeon(TM) R5 M430
X	381E17AA	AMD Radeon(TM) R5 M430
X	382917AA	AMD Radeon (TM) R5 M430
X	383C17AA	AMD Radeon (TM) R5 M430
X	383D17AA	AMD Radeon (TM) R8 M435DX
X	383E17AA	AMD Radeon (TM) R8 M435DX
X	383F17AA	AMD Radeon (TM) R6 M435DX
X	384117AA	AMD Radeon (TM) R5 M430
X	398917AA	AMD Radeon (TM) R5 M430
X	39BC17AA	AMD Radeon (TM) R5 M430
X	39E717AA	AMD Radeon(TM) R5 M430
X	39EA17AA	AMD Radeon (TM) R5 M430
X	39ED17AA	AMD Radeon (TM) R5 M430
X	39F817AA	AMD Radeon (TM) R5 M430
X	39F917AA	AMD Radeon (TM) R5 M430
X	39FC17AA	AMD Radeon(TM) R5 M430
X	39FE17AA	AMD Radeon (TM) R5 M430
X	504917AA	AMD Radeon R5 M330
X	505217AA	AMD Radeon R5 M330
X	506017AA	AMD Radeon (TM) R5 M430
X	511917AA	AMD Radeon(TM) R6 M435DX
X	511A17AA	AMD Radeon(TM) R8 M435DX
X	511B17AA	AMD Radeon(TM) R8 M435DX
X	511C17AA	AMD Radeon(TM) R5 M430
X	511D17AA	AMD Radeon(TM) R8 M435DX
D	6663	AMD Radeon HD 8500M Series
D	6664	AMD Radeon R5 M200 Series
D	6665	AMD Radeon R5 M230 Series
X	083C1028	Radeon (TM) 520
X	083F1028	Radeon (TM) 520
X	08411028	Radeon (TM) 520
X	08441028	Radeon (TM) 520
X	123E1043	AMD Radeon(TM) R8 M435DX
X	124E1043	AMD Radeon(TM) R6 M435DX
X	130917AA	AMD Radeon R7 M260DX
X	130A17AA	AMD Radeon R6 M255DX
X	131817AA	AMD Radeon R6 M255DX
X	13D01043	AMD Radeon(TM) R5 M430
X	1C6D1043	AMD Radeon R5 M320
X	1C8D1043	AMD Radeon R5 M320
X	311217AA	AMD Radeon R5 M435 Series
X	383017AA	AMD Radeon R5 M230
D	6667	AMD Radeon R5 M200 Series
D	666F	AMD Radeon HD 8500M
D	6700	ATI FirePro V (FireGL V) Graphics Adapter
D	6701	ATI FirePro V (FireGL V) Graphics Adapter
D	6702	ATI FirePro V (FireGL V) Graphics Adapter
D	6703	ATI FirePro V (FireGL V) Graphics Adapter
D	6704	AMD FirePro V7900 (FireGL V)
D	6705	ATI FirePro V (FireGL V) Graphics Adapter
D	6706	ATI FirePro V (FireGL V) Graphics Adapter
D	6707	AMD FirePro V5900 (FireGL V)
D	6708	ATI FirePro V (FireGL V) Graphics Adapter
D	6709	ATI FirePro V (FireGL V) Graphics Adapter
D	6718	AMD Radeon HD 6900 Series
D	6719	AMD Radeon HD 6900 Series
D	671C	AMD Radeon HD 6900 Series
D	671D	AMD Radeon HD 6900 Series
D	671F	AMD Radeon HD 6900 Series
D	6720	AMD Radeon HD 6900M Series
D	6721	Mobility Radeon HD 6000 series
D	6722	ATI FirePro V (FireGL V) Graphics Adapter
D	6723	ATI FirePro V (FireGL V) Graphics Adapter
D	6724	Mobility Radeon HD 6000 series
D	6725	Mobility Radeon HD 6000 series
D	6726	ATI FirePro V (FireGL V) Graphics Adapter
D	6727	ATI FirePro V (FireGL V) Graphics Adapter
D	6728	ATI FirePro V (FireGL V) Graphics Adapter
D	6729	ATI FirePro V (FireGL V) Graphics Adapter
D	6738	AMD Radeon HD 6800 Series
X	201A17AF	AMD Radeon HD 6870 X2
X	201B17AF	AMD Radeon HD 6870 X2
X	30001787	AMD Radeon HD 6800 Series
D	6739	AMD Radeon HD 6800 Series
X	30001787	AMD Radeon HD 6850 X2
X	68501545	AMD Radeon HD 6850
D	673E	AMD Radeon HD 6700 Series
X	7720148C	AMD Radeon HD 7720
D	6740	AMD Radeon HD 6700M Series
D	6741	AMD Radeon 6600M and 6700M Series
D	6742	AMD Radeon HD 7500/7600 Series
X	250B1462	AMD Radeon HD 6500 Series
X	55701458	AMD Radeon HD 5570
X	5570148C	AMD Radeon HD 5570
X	5570174B	AMD Radeon HD 5570
