V	1002	ATI Technologies Inc
X	20151787	AMD Radeon(TM) R9 370 series
X	229E1458	AMD Radeon R7 200 Series
X	229F1458	AMD Radeon R7 200 Series
X	22A01458	AMD Radeon R7 200 Series
X	22A11458	AMD Radeon R7 200 Series
X	26501787	AMD Radeon R7 200 Series
X	3000148C	AMD Radeon R7 200 Series
X	30001787	AMD Radeon R7 200 Series
X	3000196D	AMD Radeon R7 200 Series
X	30111043	ASUS R7 265 Series
X	30131043	ASUS R7 265 Series
X	30581462	AMD Radeon R7 200 Series
X	30591462	AMD Radeon R7 200 Series
X	305A1462	AMD Radeon R7 200 Series
X	72671682	AMD Radeon R7 200 Series
X	72691682	AMD Radeon R9 270 1024SP
X	9270148C	AMD Radeon R9 270 1024SP
X	92781682	AMD Radeon R9 270 1024SP
X	9370148C	AMD Radeon(TM) R9 370 Series
X	A001174B	AMD Radeon R7 200 Series
X	A008174B	AMD Radeon R9 270 1024SP
D	6820	AMD Radeon R9 M275X
X	06D91028	AMD FirePro W5170M
X	06DA1028	AMD FirePro W5170M
X	06E01028	AMD FirePro W5170M
X	16D91028	AMD FirePro W5170M
X	16DA1028	AMD FirePro W5170M
X	80D5103C	AMD FirePro W5170M
X	810A103C	AMD FirePro W5170M
D	6821	AMD Radeon R9 M270X
X	031E1002	FirePro S4000X MxM
X	031E1002	AMD FirePro S4000X
X	05CC1028	AMD FirePro M5100
X	15CC1028	AMD FirePro M5100
X	2253103C	AMD FirePro M5100
X	2254103C	AMD FirePro M5100
X	B298174B	AMD Radeon (TM) R9 M365X
D	6822	AMD Radeon E8860
D	6823	AMD Radeon R9 M265X
D	6825	AMD Radeon HD 7800M Series
X	053F1028	AMD FirePro M6000 Mobility Pro Graphics
X	05CD1028	AMD FirePro M6000 Mobility Pro Graphics
X	15CD1028	AMD FirePro M6000 Mobility Pro Graphics
X	176C103C	AMD FirePro M6000 Mobility Pro Graphics
D	6827	AMD Radeon HD 7800M Series
D	6828	AMD FirePro W600
D	682B	AMD Radeon HD 8800M Series
X	06E01028	AMD FirePro W5130M
X	079C1028	AMD Radeon(TM) R7 M465X
X	07D41028	AMD Radeon(TM) R7 M465X
X	10031028	AMD Radeon R7 450
X	10041028	AMD Radeon R7 450
X	20001787	AMD Radeon R7 250 Series
X	22CA1458	AMD Radeon R7 250 Series
X	22CB1458	AMD Radeon R7 250 Series
X	22CC1458	AMD Radeon R7 250 Series
X	22CD1458	AMD Radeon R7 250 Series
X	22E31458	AMD Radeon R7 350 Series
X	22E41458	AMD Radeon R7 350 Series
X	22E51458	AMD Radeon R7 350 Series
X	22E61458	AMD Radeon R7 350 Series
X	30001787	AMD Radeon R7 350
X	30001787	AMD Radeon R7 350 Series
X	30121462	AMD Radeon R7 250 Series
X	30221462	AMD Radeon R7 250 Series
X	72501043	AMD Radeon R7 250 Series
X	7250148C	AMD Radeon R7 250 Series
X	72501682	AMD Radeon R7 250 Series
X	72501787	AMD Radeon R7 250 Series
X	73501043	AMD Radeon R7 350 Series
X	7350148C	AMD Radeon R7 350 Series
X	73501682	AMD Radeon R7 350 Series
X	A00C174B	AMD Radeon R7 250 Series
X	A00D174B	AMD Radeon R7 350 Series
D	682C	AMD FirePro W4100 (FireGL V)
D	682D	AMD Radeon HD 7700M Series
X	053E1028	AMD FirePro M4000 Mobility Pro Graphics
X	05CC1028	AMD FirePro M4000 Mobility Pro Graphics
X	15CC1028	AMD FirePro M4000 Mobility Pro Graphics
X	176C103C	AMD FirePro M4000 Mobility Pro Graphics
D	682F	AMD Radeon HD 7700M Series
D	6835	AMD Radeon R7 Series / HD 9000 Series
X	30401462	AMD Radeon R9 255
X	86201043	AMD Radeon (TM) R9 255
X	E267174B	AMD Radeon R9 255
X	E278174B	AMD Radeon R9 255
D	6837	AMD Radeon HD 7700 Series
X	27961462	AMD Radeon HD8730
X	27991462	AMD Radeon R7 240
X	30001787	AMD Radeon HD 6570
X	80921462	AMD Radeon HD8730
X	809C1462	AMD Radeon R7 240
X	8730148C	AMD Radeon HD8730
X	A015174B	AMD Radeon R7 240 Series
X	A016174B	AMD Radeon R7 300 Series
D	683D	AMD Radeon HD 7700 Series
X	00301002	AMD Radeon HD 8760
X	22821458	AMD Radeon R7 200 Series
X	22831458	AMD Radeon R7 200 Series
X	22841458	AMD Radeon R7 200 Series
X	22A51458	AMD Radeon R7 200 Series
X	22A61458	AMD Radeon R7 200 Series
X	22A71458	AMD Radeon R7 200 Series
X	25011787	AMD Radeon R7 200 Series
X	27151462	AMD Radeon R7 200 Series
X	30091043	ASUS R7 250X Series
X	300B1043	ASUS R7 250X Series
X	35001787	AMD Radeon R7 350 Series
X	6890103C	AMD Radeon HD 8760
X	7260148C	AMD Radeon R7 200 Series
X	72601787	AMD Radeon R7 200 Series
X	72661682	AMD Radeon R7 200 Series
X	73501682	AMD Radeon R7 350 Series
X	A002174B	AMD Radeon R7 200 Series
X	A00A174B	AMD Radeon R7 350 Series
X	A00E174B	AMD Radeon R7 250 Series
X	E214174B	AMD Radeon R7 200 Series
X	E252174B	AMD Radeon R7 200 Series
D	683F	AMD Radeon HD 7700 Series
X	22851458	AMD Radeon R7 200 Series
X	22861458	AMD Radeon R7 200 Series
X	22871458	AMD Radeon R7 200 Series
X	22881458	AMD Radeon R7 200 Series
X	25001787	AMD Radeon R7 200 Series
X	27971462	AMD Radeon R7 200 Series
X	27981462	AMD Radeon R7 200 Series
X	30001787	AMD Radeon R7 200 Series
X	300D1043	ASUS R7 250 Series
X	300F1043	ASUS R7 250 Series
X	35001787	AMD Radeon R7 350 Series
X	7250148C	AMD Radeon R7 200 Series
X	72501787	AMD Radeon R7 200 Series
X	72511682	AMD Radeon R7 200 Series
X	7350148C	AMD Radeon R7 350 Series
X	73501682	AMD Radeon R7 350 Series
X	A001174B	AMD Radeon R7 200 Series
X	A012174B	AMD Radeon R7 350 Series
X	A013174B	AMD Radeon R7 350 Series
X	A014174B	AMD Radeon R7 350 Series
X	E213174B	AMD Radeon R7 200 Series
D	6840	AMD Radeon HD 7600M Series
D	6841	AMD Radeon HD 7500M/7600M Series
D	6842	AMD Radeon HD 7000M Series
D	6843	AMD Radeon HD 7670M
D	6849	AMD Radeon HD 7400 Series
D	684C	ATI FirePro V(FireGL V) Graphics Adapter
D	6850	AMD Radeon HD 7400 Series
D	6858	AMD Radeon HD 7400 Series
D	6859	AMD Radeon HD 7400 Series
D	6860	Radeon Instinct MI25
D	6861	Radeon (TM) Pro WX 9100
D	6862	Radeon Pro SSG
D	6863	Radeon Vega Frontier Edition
D	6868	Radeon (TM) PRO WX 8200
D	687F	Radeon RX Vega
X	17251028	AMD Radeon RX Vega 64
X	17261028	AMD Radeon RX Vega 64
D	6880	EG LEXINGTON
D	6888	ATI FirePro V8800 (FireGL V)
D	6889	ATI FirePro V7800 (FireGL V)
X	03011002	ATI FirePro V7800P (FireGL V)
D	688A	ATI FirePro V9800 (FireGL V)
X	030C1002	ATI FirePro V9800P (FireGL V)
D	688C	AMD FireStream 9370
D	688D	AMD FireStream 9350
D	6898	AMD Radeon HD 5800 Series
X	00D01002	AMD Radeon HD 6800 Series
X	6870174B	AMD Radeon HD 6870
D	6899	AMD Radeon HD 5800 Series
X	237B174B	ATI Radeon HD 5850X2
X	6850174B	AMD Radeon HD 6850
D	689B	AMD Radeon HD 6800 Series
D	689C	AMD Radeon HD 5900 Series
X	03521043	ASUS ARES
X	039E1043	ASUS EAH5870 Series
D	689D	AMD Radeon HD 5900 Series
D	689E	AMD Radeon HD 5800 Series
D	68A0	AMD Mobility Radeon HD 5800 Series
D	68A1	AMD Mobility Radeon HD 5800 Series
D	68A8	AMD Radeon HD 6800M Series
D	68A9	ATI FirePro V5800 (FireGL V)
D	68B0	AMD Mobility Radeon HD 5800 Series
D	68B8	AMD Radeon HD 5700 Series
X	30001002	AMD Radeon HD 6700 Series
D	68B9	AMD Radeon HD 5600/5700
D	68BA	AMD Radeon HD 6700 Series
D	68BE	AMD Radeon HD 5700 Series
X	3000148C	ATI Radeon HD 6750
X	3000174B	AMD Radeon HD 6750
X	300017AF	ATI Radeon HD 6750
X	39821642	AMD Radeon HD 6750 Graphics
D	68BF	AMD Radeon HD 6700 Series
X	3000148C	AMD Radeon HD 6750
X	30001787	AMD Radeon HD 6700 Green Edition
X	6750174B	AMD Radeon HD 6750
D	68C0	AMD Mobility Radeon HD 5000
D	68C1	AMD Mobility Radeon HD 5000 Series
X	5000174B	ATI  Radeon HD 5000 Series
D	68C7	AMD Mobility Radeon HD 5570
X	5570174B	AMD Radeon HD 5570
D	68C8	ATI FirePro V4800 (FireGL V)
D	68C9	ATI FirePro V3800 (FireGL V)
D	68D8	AMD Radeon HD 5670
X	30001787	ATI Radeon HD 5730
X	301017AF	ATI Radeon HD 5730
X	301117AF	ATI Radeon HD 5690
X	5690174B	ATI Radeon HD 5690
X	5730174B	ATI Radeon HD 5730
D	68D9	AMD Radeon HD 5570
X	3000148C	ATI Radeon HD 6510
X	3000174B	ATI Radeon HD 6510
X	30001787	ATI Radeon HD 6510
X	300017AF	ATI Radeon HD 6510
X	3001148C	ATI Radeon HD 6610
X	301017AF	ATI Radeon HD 5630
X	6510174B	ATI Radeon HD 6510
X	6610174B	ATI Radeon HD 6610
X	75701545	AMD Radeon HD 7570
D	68DA	AMD Radeon HD 5500 Series
X	3000148C	ATI Radeon HD 6390
X	3000174B	ATI Radeon HD 6390
X	30001787	ATI Radeon HD 5630
X	300017AF	ATI Radeon HD 6390
X	3001148C	ATI Radeon HD 6490
X	301017AF	ATI Radeon HD 5630
X	5570174B	ATI Radeon HD 5570
X	5630174B	ATI Radeon HD 5630
X	6490174B	ATI Radeon HD 6490
X	75701545	AMD Radeon HD 7570
D	68DE	EG REDWOOD
D	68E0	AMD Mobility Radeon HD 5000 Series
X	304E1682	ATI Radeon HD 5450
X	E204174B	ATI  Radeon HD 5400 Series
D	68E1	AMD Mobility Radeon HD 5000 Series
X	21D81458	ATI Radeon HD 5400 Series
X	21E21458	ATI Radeon HD 5400 Series
X	21F11458	ATI Radeon HD 5400 Series
X	22021458	ATI Radeon HD 5400 Series
X	23421462	ATI Radeon HD 5400 Series
X	23431462	ATI Radeon HD 5400 Series
X	25481458	ATI Radeon HD 5400 Series
X	254A1458	ATI Mobility Radeon HD 5000 Series
X	30001043	ASUS EAH5450 Series
X	3000148C	ATI Radeon HD 5400 Series
X	30001682	ATI Radeon HD 5400 Series
X	3000174B	ATI Radeon HD 5400 Series
X	30001787	ATI Radeon HD 5400 Series
X	300017AF	ATI Radeon HD 5400 Series
X	3001148C	ATI Radeon HD 6230
X	300117AF	AMD Radeon HD 6230
X	3002148C	ATI Radeon HD 6250
X	3003148C	ATI Radeon HD 6350
X	301417AF	ATI Radeon HD 6350
X	301517AF	AMD Radeon HD 7350
X	54501545	VisionTek Radeon HD 5450
X	5470174B	ATI Radeon HD 5470
X	60001092	ATI Radeon HD 5400 Series
X	60001682	ATI Radeon HD 5400 Series
X	6000174B	ATI Radeon HD 5400 Series
X	6230174B	ATI Radeon HD 6230
X	6350174B	ATI  Radeon HD 6350
X	7350148C	ATI Radeon HD 7350
X	73501545	AMD Radeon HD 7350
X	73501682	ATI Radeon HD 7350
X	7350174B	AMD Radeon HD 7350
X	8350148C	ATI Radeon HD8350
X	835017AF	AMD Radeon HD 8350
D	68E4	AMD Radeon HD 6300M Series
X	5450174B	AMD Radeon HD 5450
X	73501545	AMD Radeon HD 7350
D	68E5	AMD Radeon HD 6300M Series
X	5450148C	ATI Radeon HD 5400 Series
X	6350148C	ATI Radeon HD 6350
X	7350148C	ATI Radeon HD 7350
X	73501545	AMD Radeon HD 7350
X	8350148C	AMD Radeon HD8350
D	68E8	EG CEDAR
D	68E9	ATI FirePro (FireGL) Graphics Adapter
D	68F1	AMD FirePro 2460
D	68F2	AMD FirePro 2270
D	68F8	EG CEDAR
D	68F9	AMD Radeon HD 5450
X	00011019	ATI Radeon HD 5450
X	00191019	AMD Radeon HD 6350
X	174B3000	ATI Radeon HD 6230
X	174B6250	ATI Radeon HD 6250
X	174B6290	ATI Radeon HD 6290
X	2126103C	AMD Radeon HD 6350
X	30001787	ATI Radeon HD 5470
X	300017AF	ATI Radeon HD 6250
X	3001148C	ATI Radeon HD 6250
X	30011787	ATI Radeon HD 5530
X	300117AF	ATI Radeon HD 6230
X	3002148C	ATI Radeon HD 6290
X	30021787	ATI Radeon HD 5490
X	300217AF	ATI Radeon HD 6290
X	3003148C	ATI Radeon HD 6230
X	3004148C	ATI Radeon HD 6350
X	301117AF	ATI Radeon HD 5470
X	301217AF	ATI Radeon HD 5490
X	301317AF	ATI Radeon HD 5470
X	301417AF	ATI Radeon HD 6350
X	32701682	AMD Radeon HD 7350
X	35101682	AMD Radeon HD 8350
X	39871642	ATI Radeon HD 6350 Graphics
X	3987174B	ATI Radeon HD 6350 Graphics
X	3B311642	AMD Radeon HD 6350A Graphics
X	5470174B	ATI Radeon HD 5470
X	5490174B	ATI Radeon HD 5490
X	5530174B	ATI Radeon HD 5530
X	6230174B	ATI Radeon HD 6230
X	6350174B	ATI Radeon HD 6350
X	7350148C	ATI Radeon HD 7350
X	73501545	AMD Radeon HD 7350
X	7350174B	ATI Radeon HD 7350
X	8350148C	AMD Radeon HD8350
X	8350174B	AMD Radeon HD 8350
D	68FA	AMD Radeon HD 7300 Series
X	21281462	AMD Radeon. HD 7350
X	301517AF	AMD Radeon HD 7350
X	35101682	AMD Radeon HD 8350
X	3521174B	AMD Radeon R5 220
X	3522174B	AMD Radeon R5 220
X	7350174B	AMD Radeon HD 7350
D	68FE	EG CEDAR
D	6900	AMD Radeon R7 M260
X	079D1028	AMD Radeon(TM) R7 M465
X	07D51028	AMD Radeon(TM) R7 M465
X	080E1028	Radeon (TM) 530
X	080F1028	Radeon (TM) 530
X	08101028	Radeon (TM) 530
X	08111028	Radeon (TM) 530
X	082C1028	Radeon (TM) 530
X	082E1028	Radeon (TM) 530
X	08301028	Radeon (TM) 530
X	08391028	Radeon (TM) 530
X	083A1028	Radeon (TM) 530
X	08481028	Radeon (TM) 530
X	08491028	Radeon (TM) 530
X	311517AA	AMD Radeon (TM) 530
X	312217AA	AMD Radeon (TM) 530
X	312317AA	AMD Radeon (TM) 530
X	313117AA	AMD Radeon (TM) 530
X	313D17AA	Radeon (TM) 530
X	313E17AA	Radeon (TM) 530
X	314317AA	Radeon (TM) 530
X	36DB17AA	Radeon (TM) 530
X	36DC17AA	AMD Radeon (TM) 530
X	36DE17AA	AMD Radeon (TM) 530
X	36DF17AA	AMD Radeon (TM) 530
X	36F117AA	Radeon (TM) 530
X	36F217AA	Radeon (TM) 530
X	36F317AA	Radeon (TM) 530
X	380617AA	Radeon (TM) 530
X	380717AA	AMD Radeon(TM) 530
X	380817AA	AMD Radeon(TM) 535
X	380817AA	AMD Radeon(TM) 530X
X	381417AA	Radeon (TM) 530
X	381617AA	Radeon (TM) 530
X	381617AA	Radeon (TM) 530
X	383C17AA	AMD Radeon (TM) 530
X	38E517AA	AMD Radeon(TM) 530
X	38ED17AA	AMD Radeon(TM) 535
X	392A17AA	AMD Radeon(TM) 530
X	396417AA	AMD Radeon(TM) 530
X	397617AA	AMD Radeon(TM) 530
X	39AD17AA	Radeon (TM) 530
X	39B217AA	AMD Radeon(TM) 530
X	39BB17AA	AMD Radeon (TM) 530
X	39C017AA	AMD Radeon(TM) 530
X	39C117AA	AMD Radeon(TM) 530
X	39C417AA	AMD Radeon(TM) 530
X	39C617AA	AMD Radeon (TM) 530
X	39EB17AA	AMD Radeon(TM) 530
X	39EC17AA	Radeon(TM) 530
X	39EF17AA	AMD Radeon(TM) R8 M535DX
X	39F017AA	AMD Radeon (TM) 530
X	39F217AA	AMD Radeon (TM) 530
X	39F217AA	AMD Radeon(TM) 530
X	39FA17AA	Radeon (TM) 530
X	506B17AA	Radeon (TM) 530
X	99621170	AMD Radeon(TM) 530
X	99621770	AMD Radeon(TM) 530
D	6901	AMD Radeon R5 M255
X	1309103C	AMD Radeon(TM) R7 M265DX
X	130A103C	AMD Radeon(TM) R7 M260DX
X	1318103C	AMD Radeon(TM) R6 M255DX
X	2236103C	AMD Radeon R5 M255
D	6907	AMD Radeon R5 M255
D	6920	AMD RADEON R9 M395X
D	6921	AMD Radeon (TM) R9 M390X
X	06DA1028	AMD FirePro W7170M
X	16DA1028	AMD FirePro W7170M
D	6929	AMD FirePro S7150
D	692B	AMD FirePro W7100 (FireGL V)
D	692F	AMD MxGPU
D	6938	AMD Radeon R9 200 Series
D	6939	AMD Radeon R9 200 Series
X	200F1787	AMD Radeon R9 270
D	694C	Radeon RX Vega M GH Graphics - Unlocked
X	0CF98086	Radeon RX Vega M GH Graphics - Unlocked
X	20738086	Radeon RX Vega M GH Graphics
D	694E	Radeon RX Vega M GL Graphics
X	20738086	Radeon RX Vega M GL Graphics
D	6985	AMD Radeon Pro WX 3100
D	6987	Radeon 550X Series
D	6995	AMD Radeon Pro WX 2100
D	699F	Radeon 500 Series
X	16931642	Radeon (TM) RX 550
X	17121028	AMD Radeon RX 550
X	17551642	Radeon RX 550
X	198310CF	AMD Radeon RX 550
X	31021DC2	Radeon 500 series
X	31041DC2	Radeon 500 series
X	35901462	Radeon RX 550
X	36F417AA	Radeon (TM) RX 550
X	380617AA	Radeon(TM) 540 Graphics
X	38EA17AA	Radeon(TM) 540 Graphics
X	38EE17AA	Radeon 540
X	507317AA	Radeon (TM) RX 550X
X	507317AA	Radeon (TM) RX 550
X	507317AA	Radeon (TM) 540X
X	507317AA	Radeon (TM) 540
X	507617AA	Radeon (TM) 540
X	853B103C	Radeon(TM) RX 550X
X	853C103C	Radeon(TM) RX 550X
D	6FDF	AMD Radeon RX 580 2048SP
D	7300	AMD FirePro (TM) S9300 x2
X	0B361002	AMD Radeon R9 Fury
X	0B361028	AMD Radeon (TM) R9 Fury X
D	9400	ATI Radeon HD 2900 XT
D	9403	ATI Radeon HD 2900 PRO
D	9405	ATI Radeon HD 2900 GT
D	940A	ATI FireGL V8650
D	940B	ATI FireGL V8600
D	940F	ATI FireGL V7600
D	9440	ATI Radeon HD 4800 Series
D	9441	ATI Radeon HD 4870 X2
D	9442	ATI Radeon HD 4800 Series
D	9443	ATI Radeon HD 4850 X2
D	9444	ATI FirePro V8750 (FireGL)
D	944A	ATI Mobility Radeon HD 4850
D	944C	ATI Radeon HD 4800 Series
D	944E	ATI Radeon HD 4700 Series
D	9450	AMD FireStream 9270
D	9452	AMD FireStream 9250
D	9456	ATI FirePro V8700 (FireGL)
D	945A	ATI Mobility Radeon HD 4870
D	9460	ATI Radeon HD 4800 Series
D	9462	ATI Radeon HD 4800 Series
D	9480	ATI Mobility Radeon HD 4650
D	9488	ATI Mobility Radeon HD 4670
D	9490	ATI Radeon HD 4600 Series
D	9491	ATI RADEON E4690
D	9495	ATI Radeon HD 4600 Series
D	9498	ATI Radeon HD 4600 Series
D	949C	ATI FirePro V7750 (FireGL)
D	949E	ATI FirePro V5700 (FireGL)
D	949F	ATI FirePro V3750 (FireGL)
D	94A0	ATI Mobility Radeon HD 4830
D	94A1	ATI Mobility Radeon HD 4860
D	94A3	ATI FirePro M7740
D	94B3	ATI Radeon HD 4770
D	94B4	ATI Radeon HD 4700 Series
D	94B5	ATI Radeon HD 4770
D	94C1	ATI Radeon HD 2400 XT
D	94C3	ATI Radeon HD 2400 PRO
D	94C4	ATI Radeon HD 2400 PRO AGP
D	94C6	RV610 94C6
D	94C7	ATI Radeon HD 2350
D	94C8	ATI Mobility Radeon HD 2400 XT
D	94C9	ATI Mobility Radeon HD 2400
D	94CB	ATI RADEON E2400
D	94CC	ATI Radeon HD 2400
D	9501	ATI Radeon HD 3870
D	9504	ATI Mobility Radeon HD 3850
D	9505	ATI Radeon HD 3850
D	9506	ATI Mobility Radeon HD 3850 X2
D	9507	ATI Radeon HD 3830
D	9508	ATI Mobility Radeon HD 3870
D	9509	ATI Mobility Radeon HD 3870 X2
D	950F	ATI Radeon HD 3870 X2
D	9511	ATI FireGL V7700
D	9513	ATI Radeon HD 3850 X2
D	9515	ATI Radeon HD 3850 AGP
D	9519	AMD FireStream 9170
D	9540	ATI Radeon HD 4550
D	954F	ATI Radeon HD 4300/4500 Series
D	9552	ATI Mobility Radeon HD 4300 Series
D	9553	ATI Mobility Radeon HD 4500 Series
D	9555	ATI Mobility Radeon HD 4500 Series
D	9557	ATI FirePro RG220
D	955F	ATI Mobility Radeon HD 4330
D	9581	ATI Mobility Radeon HD 2600
D	9583	ATI Mobility Radeon HD 2600 XT
D	9586	ATI Radeon HD 2600 XT AGP
D	9587	ATI Radeon HD 2600 Pro AGP
D	9588	ATI Radeon HD 2600 XT
D	9589	ATI Radeon HD 2600 Pro
D	958A	Gemini RV630
D	958B	Gemini ATI Mobility Radeon HD 2600 XT
D	958C	ATI FireGL V5600
D	958D	ATI FireGL V3600
D	9591	ATI Mobility Radeon HD 3650
D	9593	ATI Mobility Radeon HD 3670
D	9596	ATI Radeon HD 3650 AGP
D	9598	ATI Radeon HD 3600 Series
D	95C0	ATI Radeon HD 3470
D	95C2	ATI Mobility Radeon HD 3430
D	95C4	ATI Mobility Radeon HD 3400 Series
D	95C5	ATI Radeon HD 3450
D	95C6	ATI Radeon HD 3450
D	95C9	ATI Radeon HD 3450
D	95CC	ATI FirePro V3700 (FireGL)
D	95CD	ATI FirePro 2450
D	95CE	ATI FirePro 2260
D	95CF	ATI FirePro 2260
D	9610	ATI Radeon HD 3200 Graphics
D	9611	ATI Radeon 3100 Graphics
D	9612	ATI Radeon HD 3200 Graphics
D	9613	ATI Radeon 3100 Graphics
D	9614	ATI Radeon HD 3300 Graphics
D	9615	ATI Radeon HD 3200 Graphics
D	9616	ATI Radeon 3000 Graphics
D	9640	AMD Radeon HD 6550D
D	9641	AMD Radeon HD 6620G
D	9642	AMD Radeon HD 6370D
D	9643	AMD Radeon HD 6380G
D	9644	AMD Radeon HD 6410D
D	9645	AMD Radeon HD 6410D
D	9647	AMD Radeon HD 6520G
D	9648	AMD Radeon HD 6480G
D	9649	AMD Radeon(TM) HD 6480G
D	964A	AMD Radeon HD 6530D
D	964E	SUMO 964E
D	964F	SUMO 964F
D	9710	ATI Radeon HD 4200
D	9712	ATI Mobility Radeon HD 4200 Series
D	9713	ATI Mobility Radeon 4100
D	9714	ATI Radeon HD 4290
D	9715	ATI Radeon HD 4250
D	9802	AMD Radeon HD 6310 Graphics
D	9803	AMD Radeon HD 6310 Graphics
D	9804	AMD Radeon HD 6250 Graphics
D	9805	AMD Radeon HD 6250 Graphics
D	9806	AMD Radeon HD 6320 Graphics
D	9807	AMD Radeon HD 6290 Graphics
D	9808	AMD Radeon HD 7340 Graphics
D	9809	AMD Radeon HD 7310 Graphics
D	980A	AMD Radeon HD 7290 Graphics
D	9830	AMD Radeon HD 8400 / R3 Series
D	9831	AMD Radeon(TM) HD 8400E
D	9832	AMD Radeon HD 8330
D	9833	AMD Radeon(TM) HD 8330E
D	9834	AMD Radeon HD 8210
D	9835	AMD Radeon(TM) HD 8210E
D	9836	AMD Radeon HD 8200 / R3 Series
D	9837	AMD Radeon(TM) HD 8280E
D	9838	AMD Radeon HD 8200 / R3 Series
D	9839	AMD Radeon HD 8180
D	983D	AMD Radeon HD 8250
D	9850	AMD Radeon(TM) R3 Graphics
D	9851	AMD Radeon(TM) R4 Graphics
D	9852	AMD Radeon(TM) R2 Graphics
D	9853	AMD Radeon(TM) R2 Graphics
D	9854	AMD Radeon(TM) R3E Graphics
D	9855	AMD Radeon(TM) R6 Graphics
D	9856	AMD Radeon(TM) R2E Graphics
D	9874	AMD Radeon R6 Graphics
X	36F517AA	AMD Radeon R7 Graphics
X	36F517AA	AMD Radeon R7 Graphics
X	36F517AA	AMD Radeon R5 Graphics
D	98E4	AMD Radeon(TM) R5E Graphics
D	9900	AMD Radeon HD 7660G
D	9901	AMD Radeon HD 7660D
D	9903	AMD Radeon HD 7640G
D	9904	AMD Radeon HD 7560D
D	9905	ATI FirePro A300 Series(FireGL V) Graphics Adapter
D	9906	AMD FirePro A300 Series (FireGL V) Graphics Adapter
D	9907	AMD Radeon HD 7620G
D	9908	AMD Radeon HD 7600G
D	9909	AMD Radeon HD 7500G
D	990A	AMD Radeon HD 7500G
D	990B	AMD Radeon HD 8650G
D	990C	AMD Radeon HD 8670D
D	990D	AMD Radeon HD 8550G
D	990E	AMD Radeon HD 8570D
D	990F	AMD Radeon HD 8610G
D	9910	AMD Radeon HD 7660G
D	9913	AMD Radeon HD 7640G
D	9917	AMD Radeon HD 7620G
D	9918	AMD Radeon HD 7600G
D	9919	AMD Radeon HD 7500G
D	9990	AMD Radeon HD 7520G
D	9991	AMD Radeon HD 7540D
D	9992	AMD Radeon HD 7420G
D	9993	AMD Radeon HD 7480D
D	9994	AMD Radeon HD 7400G
D	9995	AMD Radeon HD 8450G
D	9996	AMD Radeon HD 8470D
D	9997	AMD Radeon HD 8350G
D	9998	AMD Radeon HD 8370D
D	9999	AMD Radeon HD 8510G
D	999A	AMD Radeon HD 8410G
D	999B	AMD Radeon HD 8310G
D	999C	AMD Radeon HD 8650D
D	999D	AMD Radeon HD 8550D
D	99A0	AMD Radeon HD 7520G
D	99A2	AMD Radeon HD 7420G
D	99A4	AMD Radeon HD 7400G
V	1022	Nvidia Corp
D	1611	AMD IOMMU Device
D	790B	AMD SMBus
V	10DE	Nvidia Corp
D	06C0	GeForce GTX 480
X	075F10DE	GeForce GTX 480
D	06C4	GeForce GTX 465
X	C0001458	GeForce GTX 465
D	06CA	GeForce GTX 480M
X	005314C0	GeForce GTX 480M
X	048F1028	GeForce GTX 480M
X	04901028	GeForce GTX 480M
X	09031558	GeForce GTX 480M
X	72001558	GeForce GTX 480M
X	81001558	GeForce GTX 480M
X	86871558	GeForce GTX 480M
X	86891558	GeForce GTX 480M
D	06CD	GeForce GTX 470
X	079F10DE	GeForce GTX 470
X	C0001458	GeForce GTX 470
D	06D1	Tesla C2050 / C2070
X	077110DE	Tesla C2050
X	077210DE	Tesla C2070
D	06D2	Tesla M2070
X	077410DE	Tesla M2070
X	083010DE	Tesla M2070
X	084210DE	Tesla M2070
X	088F10DE	Tesla X2070
X	090810DE	Tesla M2070
D	06DE	Tesla T20 Processor
X	077310DE	Tesla S2050
X	082F10DE	Tesla M2050
X	084010DE	Tesla X2070
X	084210DE	Tesla M2050
X	084610DE	Tesla M2050
X	086610DE	Tesla M2050
X	090710DE	Tesla M2050
X	091E10DE	Tesla M2050
D	06DF	Tesla M2070-Q
X	084D10DE	Tesla M2070-Q
X	087F10DE	Tesla M2070-Q
D	0DC0	GeForce GT 440
X	082D10DE	GeForce GT 440
X	10051019	GeForce GT 440
X	1178174B	GeForce GT 440
X	2178174B	GeForce GT 440
X	23101462	GeForce GT 440
X	23111462	GeForce GT 440
X	23121462	GeForce GT 440
X	3A281642	GeForce GT 440
D	0DC4	GeForce GTS 450
X	837A1043	GeForce GTS 450
X	C0001458	GeForce GTS 450
D	0DC5	GeForce GTS 450
X	085B10DE	GeForce GTS 450
X	10071019	GeForce GTS 450
X	10111019	GeForce GTS 450
X	1184174B	GeForce GTS 450
D	0DC6	GeForce GTS 450
X	23621462	GeForce GTS 450
D	0DCD	GeForce GT 555M
X	04911028	GeForce GT 555M
X	04B71028	GeForce GT 555M
X	04B81028	GeForce GT 555M
X	10A21462	GeForce GT 555M
X	15251458	GeForce GT 555M
X	15321458	GeForce GT 555M
D	0DCE	GeForce GT 555M
X	05641025	GeForce GT 555M
X	05651025	GeForce GT 555M
X	05661025	GeForce GT 555M
X	0875152D	GeForce GT 555M
X	15001558	GeForce GT 555M
X	17001558	GeForce GT 555M
X	204C1043	GeForce GT 555M
X	204E1043	GeForce GT 555M
